Sentences,Label
"from a manuscript of his roteiro in the oporto library, one learns that the flippers of the sotilicario were covered with minute feathers, as indeed they are on the upper surface and that they dived after fish, upon which they fed, and on which they fed their young, which were hatched in nests constructed of fishbones",0
"[2] there is nothing to cavil at in these statements, unless it be that which asserts that the nests were constructed of fishbones, for this is not in accordance with the observations of contemporary naturalists, who tell us that the nests of the cape penguin (_spheniscus demersus_) are constructed of stones, shells, and débris",0
"[3] it is, therefore, probable that the fishbones which perestrello saw were the remains of repasts of seals",0
"seals, says the roteiro, were in great number at the angra de são bràs",0
on one occasion the number was counted and was found to be three thousand,0
some were as large as bears and their roaring was as the roaring of lions,0
"others, which were very small, bleated like kids",0
"these differences in size and in voice may be explained by differences in the age and in the sex of the seals, for seals of different species do not usually resort to the same locality",0
"the seal which formerly frequented the south coast of africa--for it is, i believe, no longer a denizen of that region--was that which is known to naturalists as _arctocephalus delalandii_, and, as adult males sometimes attain eight and a half feet in length, it may well be described as of the size of a bear",0
cubs from six to eight months of age measure about two feet and a half in length,0
"[4] the portuguese caught anchovies in the bay, which they salted to serve as provisions on the voyage",0
"they anchored a second time in the angra de são bràs in march, 1499, on their homeward voyage",0
yet one more allusion to the penguins and seals of the angra de são bràs is of sufficient historical interest to be mentioned,0
"the first dutch expedition to bantam weighed anchor on the 2nd of april, 1595, and on the 4th of august of the same year the vessels anchored in a harbour called 'ague sambras,' in eight or nine fathoms of water, on a sandy bottom",0
"so many of the sailors were sick with scurvy--'thirty or thirty-three,' says the narrator, 'in one ship'--that it was necessary to find fresh fruit for them",0
"'in this bay,' runs the english translation of the narrative, 'lieth a small island wherein are many birds called pyncuins and sea wolves, that are taken with men's hands'",0
"in the original dutch narrative by willem lodewyckszoon, published in amsterdam in 1597, the name of the birds appears as 'pinguijns'",0
[2] _roteiro da viagem de vasco da gama_,0
2da edição,0
"lisboa, 1861",0
pp,0
14 and 105,0
"[3] moseley, _notes by a naturalist on the 'challenger,'_ p 155",0
"[4] _catalogue of seals and whales in the british museum_, by j e       gray",0
"2nd ed, p 53",0
"the banda islands and the bandan birds   the islands of the banda sea, with the exception of letti, kisser, and wetter, constitute the ceram sub-group or the moluccan group; the principal units are buru, amboyna, great banda, ceram, ceram laut, goram, kur, babar, and dama",0
"the matabela islands, the tiandu islands, the ké islands, and the tenimber islands also belong to the ceram sub-group",0
"we are only concerned with the banda islands, which are eight in number, and consist of four central islands in close proximity to one another, inclosing a little inland sea, and four outlying islets",0
"the central islands are lonthoir, or great banda, banda neira, gounong api, which is an active volcano, and pisang",0
"the remaining banda islands are rozengain, which lies about ten miles distant to the south-east of great banda; wai, at an equal distance to the west; rhun, about eight miles west by south from wai; and suangi or manukan, about seventeen miles north by east from rhun",0
the banda islands are well known as the principal centre of the cultivation of the nutmeg,0
"when the dutch east india company became the possessors of the islands in the beginning of the seventeenth century, they destroyed the nutmeg trees in all the islands under their jurisdiction, with the exception of those in amboyna and the banda islands",0
by doing so they hoped to maintain the high value of these natural products,0
"the banda islands may have been visited by varthema, but our first reliable account of them connects the discovery of them with an expedition dispatched by order of alfonso de albuquerque from malacca",0
"shortly after albuquerque had defeated the malays and taken possession of that city, he sent three vessels, under the command of antonio de abreu, to explore the archipelago and to inaugurate a trade with the islanders",0
"a junk, commanded by a native merchant captain, ismael by name, preceded the other vessels for the purpose of announcing their approaching advent to the traders of the archipelago, so that they might have their spices ready for shipment",0
"with de abreu went francisco serrão and simão affonso, in command of two of the vessels",0
"the pilots were luis botim, gonçalo de oliveira, and francisco rodriguez or roiz",0
"abreu left malacca in november, 1511, at which season the westerly monsoon begins to blow",0
"he steered a south-easterly course, passed through the strait of sabong, and having arrived at the coast of java, he cast anchor at agaçai, which valentijn identifies with gresik, near sourabaya",0
"at agaçai, javan pilots were engaged for the voyage thence to the banda islands",0
"banda was, however, not the first port of call",0
"the course was first to buru, and thence to amboyna",0
"galvão relates that abreu landed at guli guli, which is in ceram",0
"barros, however, in his account of the voyage, makes no mention of ceram",0
"at amboyna the ship commanded by francisco serrão, an indian vessel which had been captured at goa, was burnt, for, says barros, 'she was old,' and the ship's company was divided between the two other ships, which then proceeded to lutatão, which is perhaps identical with ortattan, a trading station on the north coast of great banda",0
"here abreu obtained a cargo of nutmegs and mace and of cloves, which had been brought hither from the moluccas",0
at lutatão abreu erected a pillar in token of annexation to the dominions of the king of portugal,0
he had done this at agaçai and in amboyna also,0
the return voyage to malacca was marked by disaster,0
"a junk, which now was bought to replace the indian vessel, was wrecked, and the crew, who had taken refuge on a small island, was attacked by pirates",0
"the pirates, however, were worsted and their craft was captured",0
"serrão, who had been in command of the junk, sailed in the pirate vessel to amboyna, and thence eventually reached ternate, where he remained at the invitation of boleife, the sultan of that island",0
"the junk, of which ismael was the skipper, was also wrecked near tuban, but the cargo, consisting of cloves, was recovered in 1513 from the javans, who had taken possession of it",0
"zoologically the banda islands lie within wallace's australian region, and their avifauna has a great affinity with that of australia",0
"wallace visited these islands in december 1857, may 1859, and april 1861, and collected eight species of birds, namely, _rhipidura squamata_, a fan-tailed flycatcher; _pachycephala phæonota_, a thickhead; _myzomela boiei_, a small scarlet-headed honey-eater; _zosterops chloris_, a white-eye; _pitta vigorsi_, one of the brightly-coloured ground thrushes of the malayan region; _halcyon chloris_, a kingfisher with a somewhat extensive range; _ptilopus xanthogaster_, a fruit-eating pigeon, and the nutmeg pigeon, _carpophaga concinna_",0
"the islands were visited by the members of the _challenger_ expedition in september and october, 1874, but the only additional species then obtained was _monarcha cinerascens_, also a flycatcher",0
"these birds may be regarded as the resident birds of the banda islands, but there are others which are occasional visitants or migrants",0
"indeed, in seas so full of islands, it is inevitable that wanderers from other islands should occasionally visit the group",0
"to those which i have already mentioned there may therefore be added, as of less frequency, the accipitrine bird, _astur polionotus_, the hoary-backed goshawk; the passeres _edoliisoma dispar_, a caterpillar shrike, the skin of a male of which from great banda is in the leyden museum, and _motacilla melanope_, the grey wagtail",0
"of picarian birds there have been found _cuculus intermedius_, the oriental cuckoo; _eudynamis cyanocephala_ sub-species _everetti_, a small form of the koel, and _eurystomus australis_, the australian roller",0
"joão de barros, in his _asia_, mentions the parrots of the banda islands,[5] and we find accordingly that one of the psittaci is recorded from banda in modern times, namely, _eos rubra_, a red, or rather a crimson lory",0
"the ornithologist müller saw many of these birds in great banda, on the kanary trees",0
"additional pigeons are the seed-eating _chalcophaps chrysochlora_ and the fruit-eating _ptilonopus wallacei_, and finally there is one gallinaceous bird which is probably resident, but the shy and retiring habits of which have enabled it to escape observation until recently",0
this is a scrub fowl (_megapodius duperreyi_),0
[5] iii,0
v 6,0
'muitos papagayos & passaros diversos',0
the etymology of the name 'emu'   the name 'emu' has an interesting history,0
"it occurs in the forms 'emia' and 'eme' in _purchas his pilgrimage_, in 1613",0
"'in banda and other islands,' says purchas, 'the bird called emia or eme is admirable'",0
"we should probably pronounce 'eme' in two syllables, as e-mé",0
this eme or emia was doubtless a cassowary--probably that of ceram,0
"the idea that it was a native of the banda group appears to have existed in some quarters at the beginning of the seventeenth century, but the idea was assuredly an erroneous one",0
"so large a struthious bird as the cassowary requires more extensive feeding-grounds and greater seclusion than was to be found in any island of the banda group, and, as at the present day so in the past, ceram was the true home of the malayan cassowary, which found and which finds in the extensive forests of that island the home adapted to its requirements",0
"it is, however, equally certain that at an early date the ceram cassowary was imported into amboyna and probably into banda also, and we know of an early instance of its being introduced into java, and from java into europe",0
"when the first dutch expedition to java had reached that island, and when the vessels of which it was composed were lying at anchor off sindaya, some javans brought a cassowary on board schellenger's ship as a gift, saying that the bird was a rare one and that it swallowed fire",0
"at least, so they were understood to say, but that they really did say so is somewhat doubtful",0
"however, the sailors put the matter to the test by administering to the bird a dose of hollands; perhaps the hollands was ignited and administered in the form of liquid fire, but it is not expressly stated that this was the case",0
"this cassowary was brought alive to amsterdam in 1597, and was presented to the estates of holland at the hague",0
"[6] a figure of it, under the name 'eme,' appears in the fourth and fifth german editions of the account of this voyage of the dutch to java, by hulsius, published at frankfort in 1606 and 1625",0
the figure is a fairly accurate representation of an immature cassowary,0
"whence comes, let us ask, the name 'eme' and the later form, 'emu'",0
"the _new historical english dictionary_ suggests a derivation from a portuguese word, 'ema,' signifying a crane",0
"but no authority is quoted to prove that ema signifies, or ever signified, crane",0
"on the other hand, various portuguese dictionaries which have been consulted render 'ema' by 'casoar,' or state that the name 'ema' is applicable to several birds, of which the crane is not one",0
"pero de magalhães de gandavo, in his _historia da provincia sancta cruz_, published in 1576, uses the name 'hema' in writing of the rhea or nandu",0
"it is worthy of note that the arabic name of the cassowary is 'neâma', and that there were many arab traders in the malayan archipelago at the time when the portuguese first navigated it",0
"the portuguese strangely distorted malay and arabic names, and it would not be surprising if they reproduced 'neâma' as 'uma ema'",0
"[6] salvadori, referring to _hist",0
gen de voy_ viii,0
"p 112, states       that the cassowary which was brought alive to europe by the dutch       in 1597 belonged first to count solms van gravenhage, then to the       elector ernest van keulen, and finally to the emperor rudolph ii",0
_ornit,0
della papuasia e delle molucche_ iii,0
p 481,0
"the local board of directors of the amsterdam chamber of the company was charged to carry out this resolution, and it equipped three vessels which were placed under the command of willem de vlaming",0
"the commander was directed to search for missing vessels or for shipwrecked sailors at the tristan da cunha islands, the cape of good hope, and the islands of amsterdam and st paul in the southern ocean",0
"thence he was to proceed to the '_onbekende zuidland_,' by which name, or by that of eendragts land, australia was designated in whole or in part in the official dispatches of the dutch east india company in the seventeenth century",0
"on the 29th of december, 1696, the vessels under the command of de vlaming lay at anchor between rottnest island and the mainland of australia",0
the island was searched for wreckage with little result,0
"one piece of timber was found which, it was conjectured, might have been deck timber, and a plank was found, three feet long and one span broad",0
the nails in the wreckage were very rusty,0
the search for shipwrecked sailors on the adjacent mainland was unsuccessful,0
"on the 20th and on the 31st of december, and on the 1st of january, 1697, de vlaming notes in his journal that odoriferous wood was found on the mainland",0
"portions of it were subsequently submitted to the council of the dutch east indies at batavia, and from these portions an essential oil was obtained by distillation",0
"it may well be supposed that this experiment was the first in the manufacture of eucalyptus oil, which, however, in our day is obtained not from the wood but from the leaves of the tree",0
on the 13th of january de vlaming records that a dark resinous gum resembling lac was seen exuding from trees,0
"in a narrative of the voyage published under the title _journaal wegens een voyagie na het onbekende zuid-land_, we read that on the 11th of january nine or ten black swans were seen",0
"in a letter from willem van oudhoorn, governor-general of the dutch east indies, to the managers of the east india company at the amsterdam chamber, it is stated that three black swans were brought alive to batavia, but died soon after their arrival",0
"[7]  several boat expeditions were made, and swan river was entered and ascended",0
during these expeditions the author of the _journaal_ mentions that the song of the 'nachtegael' was heard,0
"there are no nightingales in australia, but the bird to which the writer of the _journaal_ alludes may have been the long-billed reed warbler, the australian representative of the sedge warbler and a denizen of the reed-beds of the swan river",0
two species of geese are also mentioned by the same writer under the names of european geese,0
it is somewhat difficult to determine to which geese the author of the _journaal_ alludes under the names 'kropgans' and 'rotgans',0
"when english-speaking dutch are asked to translate 'kropgans,' they do so by 'christmas goose' or 'fat goose'",0
"dictionaries are silent respecting 'kropgans,' or render it by 'pelican'",0
"i am inclined to think that this rendering arises from a confusion between 'kropgans' and the german word 'kropfgans,' and that 'kropgans' was formerly applied to domestic geese in general which were being fed for the market, and also, as in the present instance, to the wild goose from which they were derived, namely to the grey lag goose (_anser ferus_)",0
"if this be so, the australian bird with which the kropgans is compared in the _journaal_ may be the cape barren goose (_cereopsis novæ-hollandiæ_), which is found sparingly in western australia",0
"the 'rotgans' is the brent goose (_branta bernicla_) and the australian bird which most resembles it is the musk duck (_biziura lobata_), which also is found in the west of australia, although more sparingly there than in the south of the island continent",0
"other birds which were seen at the same part of the australian coast were 'duikers,' by which name cormorants are probably designated, cockatoos and parrakeets",0
it is said that all the birds were shy and flew away at the approach of human beings,0
"no aborigines were seen, although smoke was visible",0
"on the 15th of january de vlaming quitted the anchorage near rottnest island, and followed the coast until 30° 17´ s lat",0
was reached,0
two boats were there sent to the shore and soundings were taken,0
"the country near the landing-place was sandy and treeless, and neither human beings nor fresh water were to be seen",0
"but footmarks resembling those of a dog were seen, and also a bird which the _journaal_ calls a 'kasuaris' and which must have been one of the emus",0
"[8]  on the 30th of january, 26° 8´ s lat",0
"was observed, which is approximately that of false entrance",0
"on the 1st of february the pilot of the _geelvink_ left the ships in one of the _geelvink's_ boats in order to ascertain the position of dirk hartog's anchorage, and the captains of two of the vessels made an excursion for a distance of six or seven miles inland",0
"they returned to the ships on the following day, bringing with them the head of a large bird, and they imparted the information that they had seen two huge nests built of branches",0
"[9]  the pilot of the _geelvink_ returned to the ship on the 3rd of february, and reported that he had passed through a channel--probably that which is now known as south passage--and had followed the coast of dirk hartog's island until he reached the northern extremity of the island",0
"there, upon an acclivity, a tin plate was found on the ground",0
"certain words scratched upon the metal indicated that the ship _eendragt_, of amsterdam, of which dirk hartog was master, had anchored off the island on the 25th of october, 1616, and had departed for bantam on the 27th day of the same month",0
"the pilot brought the metal plate--a flattened tin dish--with him, and also two turtles which had been caught on the island",0
"the squadron anchored in dirk hartog's reede on the 4th of february, and remained there until the 12th day of that month",0
"the anonymous author of the _journaal_ relates that on the 6th of february many turtles were seen, and also a very large nest at the corner of a rock; the nest resembled that of a stork, but was probably that of an osprey, which places its nest on a rock--often on a rock surrounded by water",0
de vlaming quitted the australian coast at 21° s,0
"lat, and proceeded to batavia, where he arrived on the 20th of march, 1697",0
"[7] heeres, _the part borne by the dutch in the discovery of       australia_, p 84",0
[8] no cassowary is known to inhabit western australia,0
[9] wedge-tailed eagles and also ospreys build nests of sticks,0
new zealand birds in 1772,0
"nicholas thomas marion dufresne was an officer in the french navy, and was born at st malo in 1729",0
in 1771 he was commissioned at his own desire to restore to the island of his birth a tahitian who had accompanied bougainville to france,0
he was also charged to ascertain if a continent or islands existed in the southern ocean whence useful products might be exported to mauritius or reunion,0
the middle of the eighteenth century is approximately the period in which the collection and classification of exotic plants and animals became one of the chief objects of exploratory voyages,0
"this was also one of the aims of the expedition under the command of marion and commerson, a botanist who had accompanied de bougainville, was to have accompanied marion also",0
"but he was unable to go, so that no botanist and also no zoologist made the voyage",0
"crozet, however, who was second in command of the _mascarin_, has left not a few observations relating to the birds which he saw at sea during the voyage, or in the countries which he visited",0
they are embodied in his book _nouveau voyage à la mer du sud_,0
"the native of tahiti fell sick shortly after the commencement of the voyage, and was put ashore in madagascar, where he died",0
one of the objects of the voyage thus ceased to exist,0
"the first undiscovered land which was sighted after leaving madagascar was named terre d'espérance, and subsequently, by cook, prince edward island",0
"near it a collision with the _mascarin_ caused the partial disablement of the _marquis de castries_; the search for a southern continent was therefore abandoned, and it was resolved to visit the countries which had been discovered by tasman in the seventeenth century",0
"crozet's first observation relating to sea-birds was made on the 8th of january, 1772, about twelve days after leaving the cape of good hope",0
"terns were then in view, and thereafter, until the 13th of that month, terns and gulls were frequently seen",0
"shortly after the latter date du clesmeur, who was in command of the _marquis de castries_, sighted another island which was named ile de la prise de possession, and which has been renamed marion island",0
"crozet landed upon it, and relates that the sea-birds which were nesting upon it continued to sit on their eggs or to feed their young regardless of his presence",0
"there were amongst the birds penguins, cape petrels ('damiers'), and cormorants",0
crozet also mentions divers--'plongeons',0
"it is doubtful to what birds he alludes under this name--a name which is usually applied to the colymbidæ, a family which has no representative in the seas of the southern hemisphere",0
"the terns which crozet saw were probably of the species _sterna vittata_, which breeds on the islands of st paul and amsterdam",0
"it also frequents the tristan da cunha group, and gough island and kerguelen island, so that it enjoys a wide distribution in the southern ocean",0
"the gulls may have been dominican gulls (_larus dominicanus_), which are to be found at a considerable distance from any continental land",0
"the penguins which frequent the seas adjacent to the islands which marion named ile de la caverne, iles froides, and ile aride are _aptenodytes patagonica_, _pygoscelis papua_, _catarrhactes chrysocome_, and _catarrhactes chrysolophus_",0
"the eggs of the last-named penguin have been found on the ile aride, which is now known as crozet island, and the whole group as the crozet islands",0
the cape petrel (_daption capensis_) nests on tristan da cunha and kerguelen island,0
"a cormorant (_phalacrocorax verrucosus_) inhabits kerguelen island, but its occurrence on the crozet islands is doubtful",0
"finally, crozet saw on the island on which he landed a white bird, which he mistook for a white pigeon, and argues that a country producing seeds for the nurture of pigeons must exist in the vicinity",0
this bird was probably the sheath-bill (_chionarchus crozettensis_) of the crozet islands,0
"the next land visited was tasmania, where the vessels cast anchor on the east side of the island",0
"like their dutch predecessors, the french mariners bestowed the names of european birds upon the birds which they saw in these new lands, and it would be an idle task to seek the equivalents of the ousels, thrushes, and turtle-doves which crozet saw in tasmania",0
"there can be no doubt, however, about his pelicans, for _pelecanus conspicillatus_ still nests on the east coast of the island or on islets adjacent to the coast",0
the duration of crozet's sojourn in new zealand was about four months in the autumn and winter of 1772,0
the vessels anchored in the bay of islands,0
crozet has given a long enumeration of the birds which he saw in new zealand,0
"we will not seek to find what his wheatears and wagtails, starlings and larks, ousels and thrushes may have been, but we may make an exception in favour of his black thrushes with white tufts ('grives noires à huppes blanches')",0
these birds were evidently tuis (_prosthemadura novæ-zealandiæ_),0
"crozet distributes the birds which he saw in new zealand under four heads, as birds of the forest, of the lakes, of the open country, and of the sea-coast",0
"in the forests were wood pigeons as large as fowls, and bright blue in colour; no doubt the one pigeon of new zealand (_hemiphaga novæ-zealandiæ_) is alluded to in this description",0
"two parrots are mentioned, one of which was very large and black or dusky in colour diversified with red and blue, and the other was a small lory, which resembled the lories in the island of gola",0
[10] it was no doubt a _cyanorhamphus_--a genus of which there are in new zealand more than one species,0
"the large parrot may be the kaka, although there is no blue in the plumage of the kaka (_nestor meridionalis_)",0
"there is blue under the wing of the kea, but the kea (_nestor notabilis_) is not a bird of the north, but of the south island",0
"in the open country were the passerine birds, which crozet mentions by the names of european birds, and also a quail (_coturnix novæ-zealandiæ_) which has lately become extinct",0
"on the lakes were ducks and teals in abundance, and a 'poule bleue,' similar to the 'poules bleues' of madagascar, india, and china",0
"the 'poule bleue' was doubtless the swamp hen or purple gallinule which, because of its rich purple plumage and red feet, is a conspicuous object in new zealand landscapes",0
"the species which inhabits new zealand, tasmania, and eastern australia is _porphyrio melanotus_",0
"the curlews, which pass the summer in new zealand and the remainder of the year in islands of the pacific ocean, are of the species _numenius cyanopus_",0
"they leave new zealand in autumn, with the exception of a few individuals which remain in favoured localities",0
"the 'aigrettes blanches et noires' were perhaps reef herons; the black bird of the form of an oyster-catcher, and possessing a red bill and red feet, was doubtless the sooty oyster-catcher (_hæmatopus unicolor_), which in tasmania is known as the redbill",0
terns and gannets were amongst the birds of the coastal waters,0
"of new zealand terns, _sterna frontalis_ and _s",0
nereis_ are the species which are seen most frequently,0
the 'goelette blanche' may have been _gygis candida_,0
the gannets may have been 'manches de velours'--the name by which french mariners knew the masked gannet (_sula cyanops_),0
the body of this gannet is white; the wings are rich chocolate brown,0
it is a bird of the tropical and sub-tropical seas of the world and its appearance in new zealand waters is infrequent,0
"from new zealand the two vessels, now under the command of duclesmeur, sailed for guam and thence to the philippine islands, but as crozet's observations on the birds which he saw after he quitted new zealand are of little importance, we will follow him no further",0
[10] i am unable to identify the lories of gola island,0
